username;password;email;first_name;last_name;date_of_birth;mobile;phone;account_type;is_active;manager_id;building_name;unit;block;street;district;country;postal_code;property_group;property_sub_group;property_type;unit_type;toilets;utility_room;balcony;lease_period;lease_start_date;relationship;ownership_type
anggrek1;qwerty1;anggrek1@gmail.com;Rinaldo;Mattson;9/29/1991;112703;461510;user;TRUE;9;Bunga 1;09-0001;Block;Cileupeung Street 1;1;Indonesia;39001;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;TRUE;1;6/14/2022;Owner;Rented
anggrek2;qwerty2;anggrek2@gmail.com;Mariele;Nickels;9/29/1992;112703;461510;user;TRUE;9;Bunga 2;09-0002;Block;Cileupeung Street 2;2;Indonesia;39002;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;1;6/15/2022;Owner;Rented
anggrek3;qwerty3;anggrek3@gmail.com;Edouard;Gally;9/29/1993;112703;461510;user;TRUE;9;Bunga 3;09-0003;Block;Cileupeung Street 3;3;Indonesia;39003;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;TRUE;1;6/22/2022;Owner;Rented
anggrek4;qwerty4;anggrek4@gmail.com;Rinaldo;Mattson;9/29/1994;112703;461510;user;TRUE;9;Bunga 4;09-0004;Block;Cileupeung Street 4;4;Indonesia;39004;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;1;7/18/2022;Owner;Rented
anggrek5;qwerty5;anggrek5@gmail.com;Mariele;Nickels;9/29/1995;112703;461510;user;TRUE;9;Bunga 5;09-0005;Block;Cileupeung Street 5;5;Indonesia;39005;Commercial;Office;Condominium;Lesser than 300sqft;2;FALSE;FALSE;1;6/14/2022;Owner;Rented
anggrek6;qwerty6;anggrek6@gmail.com;Edouard;Gally;9/29/1996;112703;461510;user;TRUE;9;Bunga 6;09-0006;Block;Cileupeung Street 6;6;Indonesia;39006;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;FALSE;1;8/16/2023;Owner;Rented
anggrek7;qwerty7;anggrek7@gmail.com;Rinaldo;Mattson;9/29/1997;112703;461510;user;TRUE;9;Bunga 7;09-0007;Block;Cileupeung Street 7;7;Indonesia;39007;Commercial;Office;Condominium;Lesser than 300sqft;1;TRUE;FALSE;1;4/24/2023;Owner;Rented
anggrek8;qwerty8;anggrek8@gmail.com;Mariele;Nickels;9/29/1998;112703;461510;user;TRUE;9;Bunga 8;09-0008;Block;Cileupeung Street 8;8;Indonesia;39008;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;FALSE;1;03/12/2023;Owner;Rented
anggrek9;qwerty9;anggrek9@gmail.com;Edouard;Gally;9/29/1999;112703;461510;user;TRUE;9;Bunga 9;09-0009;Block;Cileupeung Street 9;9;Indonesia;39009;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;FALSE;1;9/29/2022;Owner;Rented
anggrek10;qwerty10;anggrek10@gmail.com;Rinaldo;Mattson;9/29/2000;112703;461510;user;TRUE;9;Bunga 10;09-0010;Block;Cileupeung Street 10;10;Indonesia;39010;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;FALSE;1;9/29/2022;Owner;Rented
anggrek11;qwerty11;anggrek11@gmail.com;Mariele;Nickels;9/29/2001;112703;461510;user;TRUE;9;Bunga 11;09-0011;Block;Cileupeung Street 11;11;Indonesia;39011;Commercial;Office;Condominium;Lesser than 300sqft;2;TRUE;TRUE;1;6/14/2022;Owner;Rented
anggrek12;qwerty12;anggrek12@gmail.com;Edouard;Gally;9/29/2002;112703;461510;user;TRUE;9;Bunga 12;09-0012;Block;Cileupeung Street 12;12;Indonesia;39012;Commercial;Office;Condominium;Lesser than 300sqft;3;TRUE;TRUE;1;6/15/2022;Owner;Rented
anggrek13;qwerty13;anggrek13@gmail.com;Rinaldo;Mattson;9/29/2003;112703;461510;user;TRUE;9;Bunga 13;09-0013;Block;Cileupeung Street 13;13;Indonesia;39013;Commercial;Office;Condominium;Lesser than 300sqft;1;FALSE;TRUE;1;6/22/2022;Owner;Rented
anggrek14;qwerty14;anggrek14@gmail.com;Mariele;Nickels;9/29/2004;112703;461510;user;TRUE;9;Bunga 14;09-0014;Block;Cileupeung Street 14;14;Indonesia;39014;Commercial;Office;Condominium;Lesser than 300sqft;2;FALSE;FALSE;1;7/18/2022;Owner;Rented
anggrek15;qwerty15;anggrek15@gmail.com;Edouard;Gally;9/29/2005;112703;461510;user;TRUE;9;Bunga 15;09-0015;Block;Cileupeung Street 15;15;Indonesia;39015;Commercial;Office;Condominium;Lesser than 300sqft;3;FALSE;FALSE;1;6/22/2022;Owner;Rented
